osm_id,road_type,is_flooded,source_file,lon,lat
0,unclassified,True,chennai-flooded-streets-23-Nov-2017.geojson,80.232521,12.97862
30604288,unclassified,True,chennai-flooded-streets-23-Nov-2017.geojson,80.221996,12.973249
27319897,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.211696,12.978181
384524243,unclassified,True,chennai-flooded-streets-23-Nov-2017.geojson,80.232953,12.944933
27480309,secondary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.222012,12.98298
132509259,unclassified,True,chennai-flooded-streets-23-Nov-2017.geojson,80.222339,12.970805
30029370,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.232845,12.984875
321715858,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.210159,12.980701
27370267,unclassified,True,chennai-flooded-streets-23-Nov-2017.geojson,80.227717,12.978422
30604309,primary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.220794,12.975403
27320164,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.218734,12.975366
23762120,secondary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.246718,12.963395
232405499,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.210079,12.976851
203726516,primary_link,True,chennai-flooded-streets-23-Nov-2017.geojson,80.208252,12.944107
27319898,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.210661,12.981404
22926966,tertiary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.243373,12.98298
27319413,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.211551,12.965711
27319897,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.211696,12.978181
98639480,primary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.21808,12.968312
384524245,unclassified,True,chennai-flooded-streets-23-Nov-2017.geojson,80.233873,12.944776
225395154,tertiary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.231115,12.949886
27344667,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.213091,12.97362
27319880,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.210352,12.976856
30604301,primary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.217865,12.98298
184469839,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.211055,12.963306
384524247,unclassified,True,chennai-flooded-streets-23-Nov-2017.geojson,80.234286,12.945254
23762120,secondary,True,chennai-flooded-streets-23-Nov-2017.geojson,80.244733,12.972274
27319890,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.210307,12.978349
0,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.231893,12.941869
27319415,residential,True,chennai-flooded-streets-23-Nov-2017.geojson,80.2115,12.965162
178647162,residential,True,chennai-flooded-streets-Dec2.geojson,80.2196279168129,12.97434220253173
27320198,residential,True,chennai-flooded-streets-Dec2.geojson,80.21821439266205,12.973542398609595
27320193,residential,True,chennai-flooded-streets-Dec2.geojson,80.2147650718689,12.970371908736965
206658378,residential,True,chennai-flooded-streets-Dec2.geojson,80.21261394023895,12.97328625171167
27344663,residential,True,chennai-flooded-streets-Dec2.geojson,80.21602034568787,12.980562811885449
28571978,residential,True,chennai-flooded-streets-Dec2.geojson,80.21646559238434,12.974229811939836
27360702,residential,True,chennai-flooded-streets-Dec2.geojson,80.1858401298523,12.983806353588108
178647161,residential,True,chennai-flooded-streets-Dec2.geojson,80.21643072366714,12.974760399636835
27320166,residential,True,chennai-flooded-streets-Dec2.geojson,80.22048890590668,12.97553406242723
132509249,residential,True,chennai-flooded-streets-Dec2.geojson,80.22044330835342,12.9710122829904
206807738,residential,True,chennai-flooded-streets-Dec2.geojson,80.22788643836975,12.976038510179947
151244188,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.23041844367981,12.978090268990016
151244519,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.2316603064537,12.978160838737054
27344671,residential,True,chennai-flooded-streets-Dec2.geojson,80.21360367536545,12.973767180363936
213364206,residential,True,chennai-flooded-streets-Dec2.geojson,80.21301358938217,12.97270077209717
30598643,residential,True,chennai-flooded-streets-Dec2.geojson,80.21359831094742,12.973657403253469
27370225,residential,True,chennai-flooded-streets-Dec2.geojson,80.21374046802521,12.974143558660444
27319908,residential,True,chennai-flooded-streets-Dec2.geojson,80.213882625103,12.980915656910696
179255282,residential,True,chennai-flooded-streets-Dec2.geojson,80.198754966259,12.9467396396971
132509245,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22044330835342,12.9710122829904
28571974,residential,True,chennai-flooded-streets-Dec2.geojson,80.21995782852173,12.97513939015586
27319913,residential,True,chennai-flooded-streets-Dec2.geojson,80.21865427494049,12.973801158983534
151332456,residential,True,chennai-flooded-streets-Dec2.geojson,80.22353053092957,12.973171246896172
27370274,residential,True,chennai-flooded-streets-Dec2.geojson,80.22627979516983,12.975915665484692
27320194,residential,True,chennai-flooded-streets-Dec2.geojson,80.2125495672226,12.97273213711145
206673810,residential,True,chennai-flooded-streets-Dec2.geojson,80.21836191415787,12.980243944098447
27320134,residential,True,chennai-flooded-streets-Dec2.geojson,80.21672576665878,12.981707596143565
179307157,residential,True,chennai-flooded-streets-Dec2.geojson,80.19967496395111,12.947814001209352
30029292,service,True,chennai-flooded-streets-Dec2.geojson,80.23341447114944,12.990478873115919
27320119,residential,True,chennai-flooded-streets-Dec2.geojson,80.21644681692123,12.973652175770823
27370088,residential,True,chennai-flooded-streets-Dec2.geojson,80.21466851234436,12.982873284284892
27370265,residential,True,chennai-flooded-streets-Dec2.geojson,80.22956550121307,12.976143058808958
132509259,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22233963012695,12.970805795145893
27319912,residential,True,chennai-flooded-streets-Dec2.geojson,80.2186194062233,12.974177537228627
27370266,residential,True,chennai-flooded-streets-Dec2.geojson,80.22950112819672,12.976558639174627
